"Destination","Year","Total","Latitude","Longitude","code"
"Bulgaria",2010,58,42.733883,25.48583,"BGR"
"Canada",2010,392,56.130366,-106.346771,"CAN"
"Croatia",2010,107,45.1,15.2,"HRV"
"Cyprus",2010,41,35.126413,33.429859,"CYP"
"Czech Republic",2010,6,49.817492,15.472962,"CZE"
"Denmark",2010,1476,56.26392,9.501785,"DNK"
"Estonia",2010,9,58.595272,25.013607,"EST"
"Finland",2010,265,61.92411,25.748151,"FIN"
"France",2010,770,46.227638,2.213749,"FRA"
"Germany",2010,5905,51.165691,10.451526,"DEU"
"Greece",2010,524,39.074208,21.824312,"GRC"
"Hungary",2010,796,47.162494,19.503304,"HUN"
"Iceland",2010,7,64.963051,-19.020835,"ISL"
"Ireland",2010,69,53.41291,-8.24389,"IRL"
"Italy",2010,873,41.87194,12.56738,"ITA"
"Japan",2010,1,36.204824,138.252924,"JPN"
"Latvia",2010,23,56.879635,24.603189,"LVA"
"Lithuania",2010,26,55.169438,23.881275,"LTU"
"Luxembourg",2010,12,49.815273,6.129583,"LUX"
"Macedonia [FYROM]",2010,71,41.608635,21.745275,"MKD"
"Netherlands",2010,1364,52.132633,5.291266,"NLD"
"New Zealand",2010,4,-40.900557,174.885971,"NZL"
"Norway",2010,930,60.472024,8.468946,"NOR"
"Poland",2010,25,51.919438,19.145136,"POL"
"Portugal",2010,2,39.399872,-8.224454,"PRT"
"Romania",2010,120,45.943161,24.96676,"ROU"
"Serbia",2010,425,44.016521,21.005859,"SRB"
"Slovakia",2010,76,48.669026,19.699024,"SVK"
"Slovenia",2010,23,46.151241,14.995463,"SVN"
"South Korea",2010,15,35.907757,127.766922,"KOR"
"Spain",2010,41,40.463667,-3.74922,"ESP"
"Sweden",2010,2397,60.128161,18.643501,"SWE"
"Switzerland",2010,632,46.818188,8.227512,"CHE"
"Turkey",2010,1248,38.963745,35.243322,"TUR"
"United Kingdom",2010,1835,55.378051,-3.435973,"GBR"
"United States",2010,156,37.09024,-95.712891,"USA"
"Australia",2011,1719,-25.274398,133.775136,"AUS"
"Austria",2011,3623,47.516231,14.550072,"AUT"
"Belgium",2011,2773,50.503887,4.469936,"BEL"
"Bosnia and Herzegovina",2011,2,43.915886,17.679076,"BIH"
"Bulgaria",2011,80,42.733883,25.48583,"BGR"
"Canada",2011,397,56.130366,-106.346771,"CAN"
"Croatia",2011,487,45.1,15.2,"HRV"
"Cyprus",2011,16,35.126413,33.429859,"CYP"
"Czech Republic",2011,25,49.817492,15.472962,"CZE"
"Denmark",2011,903,56.26392,9.501785,"DNK"
"Estonia",2011,8,58.595272,25.013607,"EST"
"Finland",2011,292,61.92411,25.748151,"FIN"
"France",2011,651,46.227638,2.213749,"FRA"
"Germany",2011,7767,51.165691,10.451526,"DEU"
"Greece",2011,637,39.074208,21.824312,"GRC"
"Hungary",2011,649,47.162494,19.503304,"HUN"
"Iceland",2011,3,64.963051,-19.020835,"ISL"
"Ireland",2011,67,53.41291,-8.24389,"IRL"
"Italy",2011,1429,41.87194,12.56738,"ITA"
"Japan",2011,4,36.204824,138.252924,"JPN"
"Latvia",2011,3,56.879635,24.603189,"LVA"
"Liechtenstein",2011,3,47.166,9.555373,"LIE"
"Lithuania",2011,45,55.169438,23.881275,"LTU"
"Luxembourg",2011,21,49.815273,6.129583,"LUX"
"Macedonia [FYROM]",2011,427,41.608635,21.745275,"MKD"
"Montenegro",2011,8,42.708678,19.37439,"MNE"
"Netherlands",2011,1885,52.132633,5.291266,"NLD"
"New Zealand",2011,11,-40.900557,174.885971,"NZL"
"Norway",2011,948,60.472024,8.468946,"NOR"
"Poland",2011,33,51.919438,19.145136,"POL"
"Portugal",2011,4,39.399872,-8.224454,"PRT"
"Romania",2011,107,45.943161,24.96676,"ROU"
"Serbia",2011,1757,44.016521,21.005859,"SRB"
"Slovakia",2011,65,48.669026,19.699024,"SVK"
"Slovenia",2011,57,46.151241,14.995463,"SVN"
"South Korea",2011,60,35.907757,127.766922,"KOR"
"Spain",2011,30,40.463667,-3.74922,"ESP"
"Sweden",2011,4120,60.128161,18.643501,"SWE"
"Switzerland",2011,1006,46.818188,8.227512,"CHE"
"Turkey",2011,2486,38.963745,35.243322,"TUR"
"United Kingdom",2011,1529,55.378051,-3.435973,"GBR"
"United States",2011,219,37.09024,-95.712891,"USA"
"Albania",2012,1,41.153332,20.168331,"ALB"
"Australia",2012,3064,-25.274398,133.775136,"AUS"
"Austria",2012,4003,47.516231,14.550072,"AUT"
"Belgium",2012,2349,50.503887,4.469936,"BEL"
"Bulgaria",2012,95,42.733883,25.48583,"BGR"
"Canada",2012,362,56.130366,-106.346771,"CAN"
"Croatia",2012,365,45.1,15.2,"HRV"
"Cyprus",2012,51,35.126413,33.429859,"CYP"
"Czech Republic",2012,10,49.817492,15.472962,"CZE"
"Denmark",2012,576,56.26392,9.501785,"DNK"
"Estonia",2012,3,58.595272,25.013607,"EST"
"Finland",2012,188,61.92411,25.748151,"FIN"
"France",2012,522,46.227638,2.213749,"FRA"
"Germany",2012,7498,51.165691,10.451526,"DEU"
"Greece",2012,584,39.074208,21.824312,"GRC"
"Hungary",2012,880,47.162494,19.503304,"HUN"
"Iceland",2012,9,64.963051,-19.020835,"ISL"
"Ireland",2012,31,53.41291,-8.24389,"IRL"
"Italy",2012,1495,41.87194,12.56738,"ITA"
"Japan",2012,4,36.204824,138.252924,"JPN"
"Latvia",2012,4,56.879635,24.603189,"LVA"
"Liechtenstein",2012,3,47.166,9.555373,"LIE"
"Lithuania",2012,73,55.169438,23.881275,"LTU"
"Luxembourg",2012,11,49.815273,6.129583,"LUX"
"Macedonia [FYROM]",2012,243,41.608635,21.745275,"MKD"
"Montenegro",2012,119,42.708678,19.37439,"MNE"
"Netherlands",2012,1022,52.132633,5.291266,"NLD"
"New Zealand",2012,9,-40.900557,174.885971,"NZL"
"Norway",2012,987,60.472024,8.468946,"NOR"
"Poland",2012,88,51.919438,19.145136,"POL"
"Portugal",2012,5,39.399872,-8.224454,"PRT"
"Romania",2012,200,45.943161,24.96676,"ROU"
"Serbia",2012,815,44.016521,21.005859,"SRB"
"Slovakia",2012,63,48.669026,19.699024,"SVK"
"Slovenia",2012,50,46.151241,14.995463,"SVN"
"South Korea",2012,4,35.907757,127.766922,"KOR"
"Spain",2012,46,40.463667,-3.74922,"ESP"
"Sweden",2012,4755,60.128161,18.643501,"SWE"
"Switzerland",2012,1349,46.818188,8.227512,"CHE"
"Turkey",2012,14146,38.963745,35.243322,"TUR"
"United Kingdom",2012,1234,55.378051,-3.435973,"GBR"
